ID,X,Y
Bauxite_elongated_1,660.0,69.0
Bauxite_elongated_1,662.0,69.0
Bauxite_elongated_1,662.0,71.0
Bauxite_elongated_1,664.0,71.0
Bauxite_elongated_1,664.0,72.0
Bauxite_elongated_1,665.0,72.0
Bauxite_elongated_1,665.0,75.0
Bauxite_elongated_1,668.0,75.0
Bauxite_elongated_1,668.0,78.0
Bauxite_elongated_1,669.0,78.0
Bauxite_elongated_1,669.0,79.0
Bauxite_elongated_1,671.0,79.0
Bauxite_elongated_1,671.0,80.0
Bauxite_elongated_1,672.0,80.0
Bauxite_elongated_1,672.0,81.0
Bauxite_elongated_1,673.0,81.0
Bauxite_elongated_1,673.0,82.0
Bauxite_elongated_1,675.0,82.0
Bauxite_elongated_1,675.0,85.0
Bauxite_elongated_1,676.0,85.0
Bauxite_elongated_1,676.0,86.0
Bauxite_elongated_1,677.0,86.0
Bauxite_elongated_1,677.0,87.0
Bauxite_elongated_1,678.0,87.0
Bauxite_elongated_1,678.0,90.0
Bauxite_elongated_1,680.0,90.0
Bauxite_elongated_1,680.0,92.0
Bauxite_elongated_1,681.0,92.0
Bauxite_elongated_1,681.0,95.0
Bauxite_elongated_1,683.0,95.0
Bauxite_elongated_1,683.0,96.0
Bauxite_elongated_1,684.0,96.0
Bauxite_elongated_1,684.0,98.0
Bauxite_elongated_1,686.0,98.0
Bauxite_elongated_1,686.0,101.0
Bauxite_elongated_1,687.0,101.0
Bauxite_elongated_1,687.0,102.0
Bauxite_elongated_1,688.0,102.0
Bauxite_elongated_1,688.0,103.0
Bauxite_elongated_1,689.0,103.0
Bauxite_elongated_1,689.0,104.0
Bauxite_elongated_1,691.0,104.0
Bauxite_elongated_1,691.0,105.0
Bauxite_elongated_1,692.0,105.0
Bauxite_elongated_1,692.0,107.0
Bauxite_elongated_1,694.0,107.0
Bauxite_elongated_1,694.0,108.0
Bauxite_elongated_1,695.0,108.0
Bauxite_elongated_1,695.0,110.0
Bauxite_elongated_1,697.0,110.0
Bauxite_elongated_1,697.0,113.0
Bauxite_elongated_1,698.0,113.0
Bauxite_elongated_1,698.0,114.0
Bauxite_elongated_1,699.0,114.0
Bauxite_elongated_1,699.0,115.0
Bauxite_elongated_1,700.0,115.0
Bauxite_elongated_1,700.0,118.0
Bauxite_elongated_1,701.0,118.0
Bauxite_elongated_1,701.0,121.0
Bauxite_elongated_1,702.0,121.0
Bauxite_elongated_1,702.0,124.0
Bauxite_elongated_1,704.0,124.0
Bauxite_elongated_1,704.0,126.0
Bauxite_elongated_1,705.0,126.0
Bauxite_elongated_1,705.0,131.0
Bauxite_elongated_1,707.0,131.0
Bauxite_elongated_1,707.0,134.0
Bauxite_elongated_1,705.0,134.0
Bauxite_elongated_1,705.0,140.0
Bauxite_elongated_1,707.0,140.0
Bauxite_elongated_1,707.0,143.0
Bauxite_elongated_1,705.0,143.0
Bauxite_elongated_1,705.0,146.0
Bauxite_elongated_1,706.0,146.0
Bauxite_elongated_1,706.0,147.0
Bauxite_elongated_1,707.0,147.0
Bauxite_elongated_1,707.0,151.0
Bauxite_elongated_1,708.0,151.0
Bauxite_elongated_1,708.0,152.0
Bauxite_elongated_1,709.0,152.0
Bauxite_elongated_1,709.0,155.0
Bauxite_elongated_1,708.0,155.0
Bauxite_elongated_1,708.0,157.0
Bauxite_elongated_1,707.0,157.0
Bauxite_elongated_1,707.0,160.0
Bauxite_elongated_1,708.0,160.0
Bauxite_elongated_1,708.0,161.0
Bauxite_elongated_1,709.0,161.0
Bauxite_elongated_1,709.0,163.0
Bauxite_elongated_1,710.0,163.0
Bauxite_elongated_1,710.0,168.0
Bauxite_elongated_1,712.0,168.0
Bauxite_elongated_1,712.0,171.0
Bauxite_elongated_1,711.0,171.0
Bauxite_elongated_1,711.0,172.0
Bauxite_elongated_1,710.0,172.0
Bauxite_elongated_1,710.0,173.0
Bauxite_elongated_1,709.0,173.0
Bauxite_elongated_1,709.0,174.0
Bauxite_elongated_1,708.0,174.0
Bauxite_elongated_1,708.0,175.0
Bauxite_elongated_1,707.0,175.0
